pasos,ep_rew_mean
7337382,664.9
7342780,681.4
7348024,671.15
7353759,667.45
7359756,663.3
7365659,682.6
7371732,684.1
7377586,716.2
7382779,694.5
7388654,718.15
7393958,700.1
7400687,706.3
7406307,693.25
7411658,679.8
7417790,685.5
7423606,686.1
7429424,704.5
7435446,725.55
7440266,688.05
7446122,687.55
7451969,691.35
7458058,685.95
7463563,700.1
7469320,693.55
7475291,698.25
7481563,743.25
7486820,722.0
7492687,694.8
7497256,637.05
7502796,619.7
7508301,618.55
7513977,613.45
7519927,676.9
7525831,687.8
7531196,679.05
7537217,677.1
7543143,693.15
7548471,678.85
7553511,653.3
7559439,639.1
7564884,633.75
7571219,670.1
7577041,700.25
7582161,659.95
7587572,654.9
7593315,655.25
7599657,688.0
7605460,707.0
7611953,742.75
7617784,736.65
7623094,710.75
7629306,745.2
7636341,733.9
7642018,741.65
7647851,762.75
7654355,762.9
7660450,769.15
7666452,764.9
7672025,753.4
7677431,699.75
7682818,674.95
7688538,655.2
7693922,656.05
7700270,665.25
7706126,679.1
7712594,722.4
7718442,716.25
7724910,732.55
7730917,727.0
7736934,740.9
7742874,732.65
7748754,732.0
7753710,677.0
7760015,684.2
7765759,700.55
7771797,712.75
7777932,746.65
7783497,715.5
7788305,661.6
7794745,674.8
7800868,695.8
7807418,756.95
7813519,760.3
7819262,727.65
7825131,701.95
7831157,683.7
7837490,714.7
7843355,740.15
7848883,702.2
7854713,700.0
7860542,677.25
7866226,682.3
7872236,707.05
7877678,678.6
7883181,661.65
7889530,667.0
7895772,696.15
7901842,717.1
7907407,705.2
7912927,682.45
7918872,693.2
7924205,678.55
7930065,696.1
7935812,691.1
7941822,693.1
7946646,676.15
7952320,669.5
7958039,664.8
7964111,696.8
7969828,711.45
7976103,722.95
7981793,718.6
7987794,713.1
7993611,709.85
7999780,688.2
