pasos,ep_rew_mean
3991413,850.65
3996724,833.0
4003231,846.15
4008977,843.55
4015031,813.4
4020934,824.7
4026988,816.75
4033673,831.95
4039054,818.15
4045343,823.6
4050618,804.7
4056526,787.65
4062261,779.8
4068249,794.8
4074364,803.25
4080493,799.1
4086091,823.0
4091669,791.1
4096947,773.75
4103013,772.4
4108928,779.7
4114621,787.25
4120941,820.75
4126645,808.9
4132688,809.2
4138474,802.9
4144587,799.4
4151091,820.2
4155743,769.95
4162298,796.05
4168571,821.1
4175076,831.35
4180271,852.6
4185664,821.5
4191139,764.55
4197129,762.95
4202342,756.4
4208448,771.9
4214843,813.4
4221482,824.45
4227244,824.55
4232331,824.1
4238529,793.7
4244138,790.6
4249777,778.9
4254993,784.8
4261672,779.85
4267175,777.55
4271820,746.75
4277757,761.05
4283730,747.45
4289604,787.65
4294576,784.1
4300675,788.5
4306662,784.55
4312555,794.65
4318778,824.55
4324489,811.2
4330655,824.5
4336881,808.55
4343065,827.2
4349786,839.65
4356225,869.7
4361253,846.65
4368148,862.0
4372733,800.6
4378505,773.8
4384268,771.2
4390107,755.1
4395798,796.2
4402048,812.45
4408163,810.55
4413794,817.9
4419773,827.45
4425785,822.4
4431775,851.25
4437499,834.45
4443016,828.4
4448631,801.05
4455398,826.65
4460234,799.5
4466939,840.15
4472408,826.85
4477913,787.15
4484546,846.6
4490587,839.15
4497349,858.5
4502343,841.75
4507889,801.1
4514082,785.55
4520406,781.85
4526373,809.7
4531485,785.9
4536467,773.5
4542004,736.9
4547744,759.2
4553560,754.95
4558886,788.65
4564437,794.0
4570014,771.55
4576171,803.45
4582669,819.7
4588254,809.85
4594575,835.3
4600101,808.3
4605873,810.65
4612052,824.1
4618012,812.35
4623868,805.4
4629783,823.7
4635454,817.45
4642205,832.6
4648432,850.1
4655206,879.35
4661746,915.2
4667946,904.65
4674775,915.85
4680442,890.3
4686124,844.15
4692114,826.4
4698015,827.6
4704127,842.8
4709983,835.25
4716130,840.35
4722262,841.8
4728585,856.0
4734799,876.0
4740493,851.25
4746827,855.15
4752041,795.4
4758266,816.9
4763548,790.8
4768654,770.25
4774933,803.05
4780775,788.8
4786338,805.55
4793113,847.25
4799176,854.4
4806052,887.75
4812170,907.2
4817650,856.3
4823859,834.7
4829171,812.6
4835324,806.95
4841566,834.55
4847172,823.55
4854026,865.8
4859921,845.1
4866239,848.9
4871624,834.45
4877291,802.8
4883571,803.9
4888637,765.25
4894687,785.1
4900625,809.35
4907029,828.2
4913255,855.25
4919047,857.8
4924871,854.75
4930295,820.05
4936419,819.8
4941882,807.2
4947498,801.45
4953044,791.0
4958095,778.0
4964137,774.9
4970784,812.6
4976295,819.95
4982813,864.4
4989133,887.95
4995443,884.65
5001281,913.35
5007250,864.95
5013169,838.85
5018349,792.6
5025712,833.7
5031562,846.95
5038200,873.9
5044365,895.15
5050756,900.2
5056726,891.2
5062758,878.8
5067905,849.3
5073655,811.6
5078796,784.1
5085217,789.3
5090640,793.5
5096581,830.05
5103369,860.1
5109121,855.75
5115207,863.95
5121334,868.45
5127659,853.95
5134377,881.45
5140745,881.8
5146744,877.2
5152362,866.65
5158096,823.6
5163985,821.0
5169967,794.9
5176144,822.5
5182915,871.4
5189579,889.7
5195583,901.3
5200478,864.3
5206559,829.7
5212489,824.65
5218771,826.85
5224783,853.8
5230700,859.6
5236469,847.6
5241641,811.4
5247506,802.6
5254209,813.1
5260267,847.65
5265931,850.2
5272080,862.2
